date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-09-04,3481,39983517,540389128,13.55,13.7,13.4,13.5,0.0,9078
2025-09-03,3481,75672719,1025151741,13.9,13.9,13.35,13.5,-0.25,16064
2025-09-02,3481,99744590,1399162696,14.2,14.4,13.7,13.75,-0.1,18757
2025-09-01,3481,65951821,914014220,14.05,14.1,13.7,13.85,-0.2,13193
2025-08-29,3481,95846324,1353970621,14.2,14.35,14.0,14.05,-0.1,20093
2025-08-28,3481,201612411,2820306016,13.45,14.3,13.45,14.15,0.8,40463
2025-08-27,3481,63193139,840017321,13.3,13.45,13.1,13.35,0.0,9950
2025-08-26,3481,92092798,1234370886,13.45,13.65,13.2,13.35,-0.05,13246
2025-08-25,3481,62556284,835855913,13.5,13.6,13.25,13.4,0.2,12094
2025-08-22,3481,95426071,1272049668,13.55,13.7,13.15,13.2,-0.2,18294
2025-08-21,3481,176546884,2349647617,12.7,13.75,12.65,13.4,0.8,36708
2025-08-20,3481,48298737,609989728,12.75,12.8,12.5,12.6,-0.2,10737
2025-08-19,3481,50364590,643165984,12.75,12.85,12.7,12.8,0.1,10474
2025-08-18,3481,68290578,863694868,12.4,12.8,12.4,12.7,0.3,13896
2025-08-15,3481,35177097,433577840,12.35,12.4,12.2,12.4,0.1,7364
2025-08-14,3481,40671865,501163679,12.35,12.45,12.25,12.3,0.0,8375
2025-08-13,3481,78742491,970772605,12.25,12.5,12.1,12.3,0.1,15425
2025-08-12,3481,54005411,658698651,12.1,12.3,12.05,12.2,0.1,11081
2025-08-11,3481,88069601,1059586109,11.85,12.1,11.85,12.1,0.35,14603
2025-08-08,3481,32380519,381843276,11.75,11.95,11.7,11.75,0.0,5940
2025-08-07,3481,50382551,592748007,11.95,11.95,11.7,11.75,-0.15,9692
2025-08-06,3481,75750619,895894034,11.6,11.95,11.55,11.9,0.25,11015
2025-08-05,3481,46022566,533117787,11.55,11.7,11.4,11.65,0.2,7731
2025-08-04,3481,34770253,396812698,11.4,11.5,11.25,11.45,0.15,6253
2025-08-01,3481,49891017,564884183,11.4,11.45,11.25,11.3,-0.25,11260
2025-07-31,3481,48315392,564330221,11.9,11.9,11.55,11.55,-0.35,8775
2025-07-30,3481,43263967,511615387,11.8,11.9,11.65,11.9,0.2,6977
2025-07-29,3481,59645710,704857950,11.8,12.0,11.65,11.7,0.0,10320
